month,mean temp,mean daily max temp,mean daily min temp,mean wind speed,accumulated precipitation,mean temp anomaly,mean daily max temp anomaly,mean daily min temp anomaly,mean wind speed anomaly,accumulated precipitation anomaly
2011-01,0.3,2.6,,4.2,47.8,-1.8,-2.0,,-1.1,-21.5
2011-02,-0.1,1.6,,6.5,39.9,-2.1,-3.1,,1.1,-12.7
2011-03,3.0,,,5.1,29.9,-0.7,,,0.2,-13.5
2011-04,9.9,,,4.7,17.4,2.7,,,-0.0,-19.5
2011-05,11.3,,,4.9,54.4,-0.2,,,0.5,5.2
2011-06,15.1,,,4.2,75.6,-0.0,,,0.0,15.2
2011-07,16.3,20.1,,4.0,113.1,-0.4,-1.1,,-0.2,39.5
2011-08,16.1,,,4.4,133.0,-0.7,,,0.4,51.2
2011-09,14.1,,,4.7,93.7,0.2,,,0.4,11.8
2011-10,9.8,,,5.1,62.4,-0.5,,,0.4,-22.0
2011-11,6.7,,,4.8,19.0,0.3,,,0.0,-46.2
2011-12,4.2,,,6.2,96.5,0.4,,,0.9,16.9
2012-01,2.3,,,5.7,83.3,0.2,,,0.4,14.0
2012-02,-0.7,,,5.0,31.5,-2.7,,,-0.4,-21.1
2012-03,5.7,,,5.6,21.9,2.0,,,0.7,-21.5
2012-04,6.2,,,4.6,55.6,-1.0,,,-0.1,18.7
2012-05,12.0,,,4.5,36.5,0.5,,,0.1,-12.7
2012-06,12.7,,,4.7,97.4,-2.4,,,0.5,37.0
2012-07,15.9,,,4.1,90.5,-0.8,,,-0.1,16.9
2012-08,16.7,,,3.7,68.7,-0.1,,,-0.3,-13.1
2012-09,12.9,,,5.1,97.7,-1.0,,,0.8,15.8
2012-10,8.8,,,4.5,93.2,-1.5,,,-0.2,8.8
2012-11,6.1,,,4.8,64.5,-0.3,,,0.0,-0.7
2012-12,0.2,,,5.1,78.3,-3.6,,,-0.2,-1.3
2013-01,0.1,,,4.7,56.8,-2.0,,,-0.6,-12.5
2013-02,-0.4,,,4.0,21.5,-2.4,,,-1.4,-31.1
2013-03,-0.8,,,5.4,8.8,-4.5,,,0.5,-34.6
2013-04,5.5,,,4.8,25.3,-1.7,,,0.1,-11.6
2013-05,12.1,,,4.1,67.9,0.6,,,-0.3,18.7
2013-06,14.0,,,4.5,68.3,-1.1,,,0.3,7.9
2013-07,17.3,,,3.7,19.2,0.6,,,-0.5,-54.4
2013-08,17.0,,,4.1,48.6,0.2,,,0.1,-33.2
2013-09,13.1,,,3.9,92.0,-0.8,,,-0.4,10.1
2013-10,10.9,,,5.0,101.8,0.6,,,0.3,17.4
2013-11,5.8,,,4.5,69.0,-0.6,,,-0.3,3.8
2013-12,5.3,,,6.4,89.8,1.5,,,1.1,10.2
2014-01,1.8,,,7.1,77.4,-0.3,,,1.8,8.1
2014-02,4.2,,,5.5,55.3,2.2,,,0.1,2.7
2014-03,5.8,,,5.0,27.2,2.1,,,0.1,-16.2
2014-04,8.7,,,4.7,37.2,1.5,,,-0.0,0.3
2014-05,11.7,,,3.8,65.0,0.2,,,-0.6,15.8
2014-06,14.9,,,3.7,39.8,-0.2,,,-0.5,-20.6
2014-07,19.5,,,3.6,54.4,2.8,,,-0.6,-19.2
2014-08,16.0,,,4.5,125.1,-0.8,,,0.5,43.3
2014-09,14.6,,,3.9,54.4,0.7,,,-0.4,-27.5
2014-10,12.1,14.6,,4.7,113.9,1.8,1.0,,-0.0,29.5
2014-11,7.5,9.1,,4.9,52.0,1.1,0.4,,0.1,-13.2
2014-12,3.3,,,5.2,117.9,-0.5,,,-0.1,38.3
2015-01,3.0,,,6.0,96.8,0.9,,,0.7,27.5
2015-02,2.1,,,5.3,30.1,0.1,,,-0.1,-22.5
2015-03,4.7,,,5.1,65.4,1.0,,,0.2,22.0
2015-04,7.0,,,5.0,27.4,-0.2,,,0.3,-9.5
2015-05,9.7,,,5.3,85.4,-1.8,,,0.9,36.2
2015-06,12.7,,,4.8,59.4,-2.4,,,0.6,-1.0
2015-07,15.5,,,4.8,85.8,-1.2,,,0.6,12.2
2015-08,17.4,,,4.0,68.4,0.6,,,-0.0,-13.4
2015-09,13.2,,,4.4,93.6,-0.7,,,0.1,11.7
2015-10,9.5,,,4.3,28.8,-0.8,,,-0.4,-55.6
2015-11,7.5,,,5.5,145.8,1.1,,,0.7,80.6
2015-12,6.7,,,6.6,115.3,2.9,,,1.3,35.7
