Term,Date,Headline,Category
CO2-mål,2023-01-01,Læs hele statsministerens tale: »Vi står over for store beslutninger og svære kompromiser«,Politik
klimakrisen,2023-01-01,Statsministeren holder fast: Helligdag skal sløjfes,Politik
klimakrisen,2023-01-01,Læs hele statsministerens tale: »Vi står over for store beslutninger og svære kompromiser«,Politik
klimakrisen,2023-01-01,På årets første dag forsvarede statsministeren kontroversiel beslutning - og så lancerede hun den nye regerings »vigtigste opgave«,Indland
klimaforandringer,2023-01-01,"Klimaforsker: Lomborg har fat i noget, men har ikke ret i alt",Indland
klimaforandringer,2023-01-01,Lomborg i heftig kritik af klimadebat: Fyldt med humbug og hykleri,Indland
CO2-reduktion,2023-01-01,Lomborg i heftig kritik af klimadebat: Fyldt med humbug og hykleri,Indland
CO2-reduktion,2023-01-01,Læs hele statsministerens tale: »Vi står over for store beslutninger og svære kompromiser«,Politik
CO2-udledning,2023-01-01,Lomborg i heftig kritik af klimadebat: Fyldt med humbug og hykleri,Indland
CO2-mål,2023-01-01,Skal Aarhus have mere letbane? Se letbanen køre forbi Aros og Aarhus Rådhus,JP Aarhus
klimaaftryk,2023-01-01,Skal Aarhus have mere letbane? Se letbanen køre forbi Aros og Aarhus Rådhus,JP Aarhus
global opvarmning,2023-01-01,Lomborg i heftig kritik af klimadebat: Fyldt med humbug og hykleri,Indland
klimaforandringer,2023-01-02,"Bliver 2023 et ""godt nyt år"" – eller fortsætter vi, hvor 2022 slap?",Kommentar
global opvarmning,2023-01-02,JP mener: Vi behøver kritiske røster som Lomborg,Leder
klimaforandringer,2023-01-02,Et år er lang tid i britisk politik,International debat
klimakrisen,2023-01-02,JP mener: Vi behøver kritiske røster som Lomborg,Leder
klimakrisen,2023-01-03,Greta Thunberg – de unges store stemme for klimaet,International
klimakrisen,2023-01-03,Forslag er skidt for både folkekirken og arbejdsmarked: Det er historieløst at sløjfe store bededag,Debatindlæg
klimakrise,2023-01-03,"Han har skabt en af de største energikoncerner i Danmark: »Det her firma er en del af mig, og jeg er en del af det«",JP Erhverv
CO2-mål,2023-01-05,Tiden er knap for klimamål - er længere væk end troet,Indland
klimakrisen,2023-01-06,"Sæt strøm til nu, hvis vi skal i mål med grøn omstilling",Debatindlæg
klimaforandringer,2023-01-06,Studie: Halvdelen af verdens gletsjere kan forsvinde inden 2100,International
klimakrise,2023-01-06,Krisernes mand har et evigt aktuelt fagområde,Indland
CO2-udledning,2023-01-06,Blev hentet hjem fra udlandet: Nu går direktøren af,JP Erhverv
klimaaftryk,2023-01-06,"Sæt strøm til nu, hvis vi skal i mål med grøn omstilling",Debatindlæg
klimakrisen,2023-01-07,Kommentar: Selvfølgelig skal 16-årige ikke have stemmeret,Kommentar
klimakrise,2023-01-07,Budskab fra Putin: To Nato-lande fik et kram fra Kreml,International
